,round_num,tick,side,team,hp,armor,is_alive,x,y,z,inventory,total_utility,equipment_value_freezetime_end,area_name,seconds,clock_time,t_alive,ct_alive,bomb_planted,map_name,utility_used,player
78246,16,298025,T,Team2,97,98,True,-2139,681,300,"[{'ammo_in_magazine': 10, 'ammo_in_reserve': 18, 'weapon_class': 'Pistols', 'weapon_name': 'P250'}]",0.0,950,SnipersNest,30,00:10,4,0,True,de_overpass,0.0,Player5
78247,16,298041,T,Team2,97,98,True,-2163,668,305,"[{'ammo_in_magazine': 9, 'ammo_in_reserve': 18, 'weapon_class': 'Pistols', 'weapon_name': 'P250'}]",0.0,950,SnipersNest,30,00:10,4,0,True,de_overpass,0.0,Player5
78248,16,298057,T,Team2,97,98,True,-2186,656,299,"[{'ammo_in_magazine': 9, 'ammo_in_reserve': 18, 'weapon_class': 'Pistols', 'weapon_name': 'P250'}]",0.0,950,SnipersNest,30,00:10,4,0,True,de_overpass,0.0,Player5
78260,16,298249,T,Team2,97,98,True,-2221,911,286,"[{'ammo_in_magazine': 4, 'ammo_in_reserve': 18, 'weapon_class': 'Pistols', 'weapon_name': 'P250'}]",0.0,950,SnipersNest,32,00:09,4,0,True,de_overpass,0.0,Player5
78261,16,298265,T,Team2,97,98,True,-2226,910,305,"[{'ammo_in_magazine': 4, 'ammo_in_reserve': 18, 'weapon_class': 'Pistols', 'weapon_name': 'P250'}]",0.0,950,SnipersNest,32,00:08,4,0,True,de_overpass,0.0,Player5
78262,16,298281,T,Team2,97,98,True,-2230,911,312,"[{'ammo_in_magazine': 4, 'ammo_in_reserve': 18, 'weapon_class': 'Pistols', 'weapon_name': 'P250'}]",0.0,950,SnipersNest,32,00:08,4,0,True,de_overpass,0.0,Player5
78263,16,298297,T,Team2,97,98,True,-2230,916,306,"[{'ammo_in_magazine': 4, 'ammo_in_reserve': 18, 'weapon_class': 'Pistols', 'weapon_name': 'P250'}]",0.0,950,SnipersNest,32,00:08,4,0,True,de_overpass,0.0,Player5
78264,16,298313,T,Team2,97,98,True,-2231,919,288,"[{'ammo_in_magazine': 13, 'ammo_in_reserve': 9, 'weapon_class': 'Pistols', 'weapon_name': 'P250'}]",0.0,950,SnipersNest,32,00:08,4,0,True,de_overpass,0.0,Player5
211046,16,298057,T,Team2,68,83,True,-2183,907,296,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,30,00:10,4,0,True,de_overpass,0.0,Player9
211047,16,298073,T,Team2,68,83,True,-2202,934,310,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,31,00:10,4,0,True,de_overpass,0.0,Player9
211048,16,298089,T,Team2,68,83,True,-2228,955,311,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,31,00:10,4,0,True,de_overpass,0.0,Player9
211049,16,298105,T,Team2,68,83,True,-2256,974,300,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,31,00:10,4,0,True,de_overpass,0.0,Player9
211050,16,298121,T,Team2,68,83,True,-2273,989,308,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,31,00:10,4,0,True,de_overpass,0.0,Player9
211051,16,298137,T,Team2,68,83,True,-2293,1006,324,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,31,00:09,4,0,True,de_overpass,0.0,Player9
211052,16,298153,T,Team2,68,83,True,-2306,1018,334,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,31,00:09,4,0,True,de_overpass,0.0,Player9
211053,16,298169,T,Team2,68,83,True,-2300,1018,331,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,31,00:09,4,0,True,de_overpass,0.0,Player9
211054,16,298185,T,Team2,68,83,True,-2282,1018,321,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,31,00:09,4,0,True,de_overpass,0.0,Player9
211055,16,298201,T,Team2,68,83,True,-2263,1007,308,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,32,00:09,4,0,True,de_overpass,0.0,Player9
211056,16,298217,T,Team2,68,83,True,-2244,988,293,"[{'ammo_in_magazine': 20, 'ammo_in_reserve': 101, 'weapon_class': 'Pistols', 'weapon_name': 'Glock-18'}]",0.0,850,SnipersNest,32,00:09,4,0,True,de_overpass,0.0,Player9
